Symbol(CUSIP),Security description,Date acquired,Date sold,Quantity,Cost basis,Proceeds,Short-term gain/loss,Long-term gain/loss
ABR250328P11.5(7703199QK),PUT (ABR) ARBOR REALTY TRUST MAR 28 25 $11.5 (100 SHS),2025-02-26,2025-02-24,4,$164.11,$217.29, --,$53.18,
AGNC(00123Q104),AGNC INVT CORP COM,2026-03-16,2026-04-09,0.103,$1.07,$1.07, --,$0.00,
AGNC(00123Q104),AGNC INVT CORP COM,2026-03-16,2026-04-09,1,$10.42,$10.41, --, -$0.01,
AGNC(00123Q104),AGNC INVT CORP COM,2026-03-16,2026-04-09,"4,831","$50,363.18","$50,313.83", --, -$49.35,
AGNC(00123Q104),AGNC INVT CORP COM,2025-08-28,2025-09-03,0.21,$2.06,$2.06, --,$0.00,
AGNC(00123Q104),AGNC INVT CORP COM,2025-08-28,2025-09-03,"3,050","$29,890.00","$29,940.32", --,$50.32,
AGNC(00123Q104),AGNC INVT CORP COM,2025-08-28,2025-09-03,3,$29.41,$29.45, --,$0.04,
AGNC(00123Q104),AGNC INVT CORP COM,2025-05-22,2025-06-16,0.33,$2.91,$3.09, --,$0.18,
AGNC(00123Q104),AGNC INVT CORP COM,2025-05-22,2025-06-16,100,$882.50,$937.50, --,$55.00,
AGNC(00123Q104),AGNC INVT CORP COM,2025-05-22,2025-06-16,7,$61.77,$65.63, --,$3.86,
AGNC(00123Q104),AGNC INVT CORP COM,2025-05-22,2025-06-16,0.649,$5.72,$6.08, --,$0.36,
AGNC(00123Q104),AGNC INVT CORP COM,2025-05-22,2025-06-16,0.387,$3.42,$3.61, --,$0.19,
AGNC(00123Q104),AGNC INVT CORP COM,2025-05-08,2025-06-16,25.262,$0.00,$236.83, --,$236.83,
AGNC(00123Q104),AGNC INVT CORP COM,2025-04-09,2025-06-16,8,$68.75,$75.00, --,$6.25,
AGNC(00123Q104),AGNC INVT CORP COM,2025-04-09,2025-06-16,0.571,$4.91,$5.35, --,$0.44,
AGNC(00123Q104),AGNC INVT CORP COM,2025-04-08,2025-06-16,24.826,$0.00,$232.74, --,$232.74,
AGNC(00123Q104),AGNC INVT CORP COM,2025-03-28,2025-06-16,0.385,$3.67,$3.61, --, -$0.06,
AGNC(00123Q104),AGNC INVT CORP COM,2025-03-28,2025-06-16,3,$28.60,$28.13, --, -$0.47,
AGNC(00123Q104),AGNC INVT CORP COM,2025-03-21,2025-06-16,16,$163.84,$150.00, --, -$13.84,
AGNC(00123Q104),AGNC INVT CORP COM,2025-03-21,2025-06-16,0.506,$5.18,$4.74, --, -$0.44,
AGNC(00123Q104),AGNC INVT CORP COM,2025-03-10,2025-06-16,20.709,$0.00,$194.15, --,$194.15,
